CMP1,Entry,PLATE,ROW,COL,LATID,Supplier,CAT,Name,Conc_mM,IC50,Yeast_Active,Pubchem_CID,Notes
CMP1,1,LAT001,A,2,LAT001A02,Microsource,100005,Anthothecol,2.5,63,-,99980,   
CMP3,2,LAT001,B,2,LAT001B02,Microsource,100068,Prieurianin,2.5,0.95,-,73600,"Natural Product, ex several  Meliaceae  genera    "
CMP1114,3,LAT001,C,2,LAT001C02,Microsource,100069,Prieuranin Acetate,2.5,0.82,-,188615,"Natural Product, ex several  Meliaceae  genera    "
CMP2225,4,LAT001,D,2,LAT001D02,Microsource,100201,3-Deoxo-3Beta-Acetoxydeoxydihydrogedunin,2.5,100,-,4544837,"Natural Product, ex Meliaceae spp    "
CMP2985,5,LAT001,E,2,LAT001E02,Microsource,100205,3Alpha-Acetoxydihydrodeoxygedunin,2.5,>100 ,-,4544837,"Natural Product, ex Meliaceae spp >100    "
CMP3096,6,LAT001,F,2,LAT001F02,Microsource,100325,Digitonin,2.5,100,-,25444,"Natural Product, ex the seeds of Digitalis purpurea, Scrophulariaceae    "
CMP3207,7,LAT001,G,2,LAT001G02,Microsource,100378,"1,3-Dideacetylkhivorin",2.5,6.2,-,4297097,"Natural Product, ex Khaya senegalensis    "
CMP3318,8,LAT001,H,2,LAT001H02,Microsource,100465,Dihydrofissinolide,2.5,27,-,5008752,derivative of fissinolide (00100031)    
CMP2,9,LAT001,A,3,LAT001A03,Microsource,100492,3Beta-Hydroxydeoxodihydrogedunin,2.5,27,-,3980897,"Natural Product, ex Meliaceae spp    "
CMP114,10,LAT001,B,3,LAT001B03,Microsource,102035,3Beta-Hydroxydeoxodihydrodeoxygedunin,2.5,9.6,-,3383047,"Natural Product, ex Meliaceae spp    "
CMP1225,11,LAT001,C,3,LAT001C03,Microsource,102076,Imperatorin,2.5,100,-,10212,"Natural Product, ex Angelica &amp, other Umbelliferaceae. Anticonvulsant, Antiinflammatory    "
CMP2336,12,LAT001,D,3,LAT001D03,Microsource,200002,"Orsellinic Acid, Ethyl Ester",2.5,100,-,75653,"Natural Product, ex Roccella and Lecanora lichens    "
CMP2996,13,LAT001,E,3,LAT001E03,Microsource,300546,Bergapten,2.5,>100 ,-,2355,"widespread in Umbelliferae Antipsoriatic, Antiinflammatory >100    "
CMP3107,14,LAT001,F,3,LAT001F03,Microsource,210025,Avocatin A,2.5,5,+,6710728,Persea spp    
CMP3218,15,LAT001,G,3,LAT001G03,Microsource,210201,Dihydromundulone,2.5,26,-,3953335,derivative    
CMP3329,16,LAT001,H,3,LAT001H03,Microsource,210203,Dihydromunduletone,2.5,8,-,3492326,derivative of mundulone    
CMP1113,17,LAT001,A,4,LAT001A04,Microsource,210211,Epiafzelechin Trimethyl Ether,2.5,55,-,597429,derivative    
CMP225,18,LAT001,B,4,LAT001B04,Microsource,211552,Avocatin B,2.5,7.3,+,6710748,Persea spp    
CMP1336,19,LAT001,C,4,LAT001C04,Microsource,201449,Dihydrorotenone,2.5,18,-,73068,   
CMP2447,20,LAT001,D,4,LAT001D04,Microsource,240740,4-Acetoxyphenol,2.5,>100 ,-,96009,"Natural Product, ex Ferulago aucheri, Salvia yosgadensis Antioxidant  >100    "
CMP3007,21,LAT001,E,4,LAT001E04,Microsource,200013,Rotenone,2.5,27,-,5102,"Natural Product, ex Derris spp Acaricide, Ectoparasiticide, Antineoplastic, Mitochondrial Poison    "
CMP3118,22,LAT001,F,4,LAT001F04,Microsource,1701001,"Androsta-1,4-Dien-3,17-Dione",2.5,100,-,2192,"Natural Product, ex mammary neoplasms, cholesterol metabolite    "
CMP3229,23,LAT001,G,4,LAT001G04,Microsource,1504165,Osthol,2.5,64,-,10228,   
CMP3340,24,LAT001,H,4,LAT001H04,Microsource,1504017,Sapindoside A,2.5,>100 ,+,73296,"Natural Product, ex Anemone coronaria, Hedera spp >100    "
CMP2224,25,LAT001,A,5,LAT001A05,Microsource,1500737,"3,7-Dimethoxyflavone",2.5,100,-,688664,"Natural Product, ex Pongamia pinnata    "
CMP336,26,LAT001,B,5,LAT001B05,Microsource,1504180,Asarinin (-),2.5,>100 ,-,5204,"Natural Product, ex Asarum &amp, Xanthoxylum spp Antitubercular >100    "
CMP1447,27,LAT001,C,5,LAT001C05,Microsource,1504200,Isoliquiritigenin,2.5,52,-,425,"widespread in Fabaceae Aldose Reductase Inhibitor, Antineoplastic, Antiinflammatory    "
CMP2558,28,LAT001,D,5,LAT001D05,Microsource,1500296,Eugenol,2.5,46,-,3314,"common in plant essential oils Analgesic (Topical), Antiseptic, Antifungal    "
CMP3018,29,LAT001,E,5,LAT001E05,Microsource,100543,Dihydro-Obliquin,2.5,5.8,-,3503044,derivative    
CMP3129,30,LAT001,F,5,LAT001F05,Microsource,1500186,Chlortetracycline Hcl,2.5,2.1,-,5280963,"Natural Product, ex Streptomyces aureofaciens    "
CMP3240,31,LAT001,G,5,LAT001G05,Microsource,1400208,Coumarin,2.5,17,-,323,"Natural Product, ex Coumarouodorata, tonka beans, lavender oil Antineoplastic, Antiinflammatory, Antihyperglycaemic    "
CMP3351,32,LAT001,H,5,LAT001H05,Microsource,200022,Aklavine Hydrochloride,2.5,22,-,264889,"Natural Product, ex Actinomyces spp Antibiotic, Antineoplastic    "
CMP2984,33,LAT001,A,6,LAT001A06,Microsource,310035,Sanguinarine Sulfate,2.5,48,+,68635,"Natural Product, ex Sanguinaria canadensis Antineoplastic, Antiplaque Agent    "
CMP447,34,LAT001,B,6,LAT001B06,Microsource,1502234,"Abscisic Acid (Cis,Trans; +/-)",2.5,0.048,-,287291,   
CMP1558,35,LAT001,C,6,LAT001C06,Microsource,1504106,Psoromic Acid,2.5,26,-,23725,   
CMP2669,36,LAT001,D,6,LAT001D06,Microsource,1500729,4-Methylesculetin,2.5,0.77,-,5319502,Analog of esculetin    
CMP3029,37,LAT001,E,6,LAT001E06,Microsource,1501207,Kinetin Riboside,2.5,11,-,3832,   
CMP3140,38,LAT001,F,6,LAT001F06,Microsource,300146,Vulpinic Acid,2.5,8.3,-,5678,"Natural Product, ex widespread in lichens Antiinflammatory, Antimicrobial    "
CMP3251,39,LAT001,G,6,LAT001G06,Microsource,100032,Gedunin,2.5,9.4,-,3458,"Natural Product, ex numerous Meliaceae species Antifeedant    "
CMP3362,40,LAT001,H,6,LAT001H06,Microsource,1500679,Aminopterin,2.5,0.023,-,2154,   
CMP3095,41,LAT001,A,7,LAT001A07,Microsource,1503210,"Betamethasone 17,21-Dipropionate",2.5,>100 ,-,NULL,"Glucocorticoid, Antiinflammatory >100    "
CMP558,42,LAT001,B,7,LAT001B07,Microsource,310017,"Chaulmoogric Acid, Ethyl Ester",2.5,inactive,-,2700,Antilepretic    
CMP1669,43,LAT001,C,7,LAT001C07,Microsource,310300,Veratrine Sulfate,2.5,inactive,-,5351532,Antihypertensive    
CMP2780,44,LAT001,D,7,LAT001D07,Microsource,1500124,Amprolium,2.5,inactive,-,2178,Coccidiostat    
CMP3040,45,LAT001,E,7,LAT001E07,Microsource,1500144,Betamethasone,2.5,inactive,-,9782,"Glucocorticoid, Antiinflammatory    "
CMP3151,46,LAT001,F,7,LAT001F07,Microsource,1500169,Cetylpyridinium Chloride,2.5,10,+,31239,Antiinfective (Topical)    
CMP3262,47,LAT001,G,7,LAT001G07,Microsource,1500200,Clotrimazole,2.5,0.98,+,2812,Antifungal    
CMP3373,48,LAT001,H,7,LAT001H07,Microsource,1500217,Cytarabine,2.5,21,-,596,"Antineoplastic, Antiviral, Antimetabolite    "
CMP3206,49,LAT001,A,8,LAT001A08,Microsource,1500222,Dapsone,2.5,14,-,2955,"Antibacterial (Leprostatic), Dermatitis Herpetiformis Suppressant    "
CMP669,50,LAT001,B,8,LAT001B08,Microsource,1500226,Demeclocycline Hydrochloride,2.5,13,-,5281008,Antibacterial    
CMP1780,51,LAT001,C,8,LAT001C08,Microsource,1500237,Diclofenac Sodium,2.5,26,-,3032,Antiinflammatory    
